lat,lon,zone
32.158771,34.851786,דרום
32.156551,34.838283,דרום
32.177342,34.812868,מערב
32.166429,34.84732,מרכז
32.159253,34.84702,דרום
32.166502,34.834376,מרכז
32.169852,34.863197,מזרח
32.179152,34.84495,צפון
32.180047,34.842885,צפון
32.159135,34.835842,דרום
32.162592,34.844852,מרכז
32.158192,34.835771,דרום
32.170727,34.850649,צפון
32.167106,34.832658,מרכז
32.154799,34.848254,דרום
32.167739,34.847759,מרכז
32.171646,34.846095,צפון
32.156822,34.835452,דרום
32.168833,34.844466,מרכז
32.173803,34.816672,צפון
32.173326,34.819133,צפון
32.185092,34.814517,מחוץ לתחום
32.155189,34.845909,דרום
32.165397,34.839425,מרכז
32.169615,34.835788,מרכז
32.168193,34.841942,מרכז
32.167342,34.8094,מערב
32.164022,34.858076,מזרח
32.162834,34.833979,מרכז
32.165514,34.835046,מרכז
32.175821,34.819261,צפון
32.166615,34.841495,מרכז
32.168267,34.833756,מרכז
32.174481,34.84448,צפון
32.171912,34.858031,מזרח
32.160535,34.850863,מרכז
32.169122,34.837217,מרכז
32.189479,34.808439,מחוץ לתחום
32.154883,34.838276,דרום
32.153796,34.850065,דרום
32.175934,34.812627,מערב
32.171583,34.845313,צפון
32.188425,34.810577,מחוץ לתחום
32.173275,34.820052,צפון
32.170138,34.850062,צפון
32.174469,34.837232,צפון
32.162686,34.854206,מזרח
32.158998,34.848868,דרום
32.17192,34.802278,מערב
32.175475,34.838744,צפון
32.16242,34.854383,מזרח
32.161273,34.834685,מרכז
32.174408,34.848603,צפון
32.170021,34.848805,צפון
32.170507,34.836194,צפון
32.172682,34.833652,צפון
32.187056,34.809348,מחוץ לתחום
32.167251,34.841598,מרכז
32.170887,34.836862,צפון
32.186139,34.810508,מחוץ לתחום
32.169064,34.836369,מרכז
32.162439,34.834972,מרכז
32.166849,34.806461,מערב
32.169604,34.84425,מרכז
32.157804,34.84501,דרום
32.155808,34.843658,דרום
32.177336,34.84648,צפון
32.172486,34.803821,מערב
32.162551,34.863281,מזרח
32.167524,34.808856,מערב
32.17772,34.807679,מערב
32.155324,34.844152,דרום
32.172641,34.806376,מערב
32.172049,34.833763,צפון
32.177433,34.845707,צפון
32.168935,34.809643,מערב
32.171638,34.84854,צפון
32.166642,34.845404,מרכז
32.162422,34.837559,מרכז
32.169004,34.837893,מרכז
32.183546,34.804443,מערב
32.163101,34.833664,מרכז
32.176107,34.82012,צפון
32.16866,34.832913,מרכז
32.163728,34.861523,מזרח
32.164103,34.82615,מרכז
32.168346,34.834079,מרכז
32.17121,34.838458,צפון
32.159891,34.850733,דרום
32.16929,34.839885,מרכז
32.167725,34.844823,מרכז
32.168814,34.857131,מזרח
32.165682,34.844569,מרכז
32.174849,34.855638,מזרח
32.173017,34.830928,צפון
32.160637,34.860779,מזרח
32.174079,34.817324,צפון
32.176026,34.818058,צפון
32.172298,34.854392,מזרח
32.164059,34.836736,מרכז
32.171518,34.846865,צפון
32.163491,34.836905,מרכז
32.171812,34.840506,צפון
32.1635,34.843976,מרכז
32.172904,34.855129,מזרח
32.151636,34.843663,דרום
32.163227,34.838245,מרכז
32.167913,34.803205,מערב
32.16398,34.857878,מזרח
32.166693,34.841,מרכז
32.169234,34.834365,מרכז
32.168634,34.859238,מזרח
32.165179,34.848624,מרכז
32.171062,34.841352,צפון
32.15068,34.848559,דרום
32.185839,34.812454,מחוץ לתחום
32.169533,34.849061,מרכז
32.170409,34.841676,צפון
32.15972,34.846974,דרום
32.168919,34.836294,מרכז
32.171955,34.817018,צפון
32.170926,34.841245,צפון
32.163615,34.83418,מרכז
32.166273,34.80531,מערב
32.16905,34.840117,מרכז
32.171946,34.851525,צפון
32.169897,34.846174,מרכז
32.157926,34.817427,הרצליה ב
32.169579,34.838867,מרכז
32.172712,34.815788,צפון
32.171062,34.843255,צפון
32.189815,34.815291,מחוץ לתחום
32.810257,34.993199,מחוץ לתחום
32.176086,34.814236,מערב
32.164317,34.834383,מרכז
32.17161,34.84169,צפון
32.16258,34.856693,מזרח
32.171059,34.80727,מערב
32.163058,34.848011,מרכז
32.158625,34.844583,דרום
32.178152,34.817317,צפון
32.150275,34.848452,דרום
32.15009,34.848052,דרום
32.174316,34.806033,מערב
32.155988,34.848463,דרום
32.172137,34.839906,צפון
32.161893,34.824327,מרכז
32.17181,34.85966,מזרח
32.8166,34.990057,מחוץ לתחום
32.168653,34.840013,מרכז
32.176543,34.852398,מזרח
32.165488,34.850725,מרכז
32.17346,34.835452,צפון
32.180455,34.813398,מערב
32.166002,34.847584,מרכז
32.173087,34.829312,צפון
32.167672,34.849929,מרכז
32.168715,34.84066,מרכז
32.15519,34.841296,דרום
32.161466,34.851948,מרכז
32.173451,34.831523,צפון
32.154258,34.846107,דרום
32.177661,34.85283,מזרח
32.177265,34.854182,מזרח
32.162076,34.84785,מרכז
32.156043,34.835396,דרום
32.169005,34.850581,מרכז
32.155313,34.834365,דרום
32.163944,34.842566,מרכז
32.178935,34.842076,צפון
32.158073,34.846972,דרום
32.167168,34.832447,מרכז
32.165657,34.836674,מרכז
32.168852,34.847311,מרכז
32.174318,34.845296,צפון
32.162137,34.855718,מזרח
32.177244,34.849594,צפון
32.185574,34.809412,מחוץ לתחום
32.155085,34.836515,דרום
32.173657,34.808155,מערב
32.170583,34.812638,מערב
32.170455,34.811679,מערב
32.165671,34.843846,מרכז
32.155974,34.850989,דרום
32.173898,34.842826,צפון
32.172942,34.810979,מערב
32.170553,34.843554,צפון
32.159737,34.843316,דרום
32.167246,34.840474,מרכז
32.154506,34.848726,דרום
32.17399,34.849883,צפון
32.167843,34.857427,מזרח
32.162111,34.825004,מרכז
32.166946,34.85833,מזרח
32.172415,34.849989,צפון
32.162152,34.851713,מרכז
32.153114,34.850727,דרום
32.166046,34.842319,מרכז
32.156228,34.851001,דרום
32.158099,34.838299,דרום
32.165025,34.838908,מרכז
32.17053,34.842025,צפון
32.16414,34.831915,מרכז
32.152535,34.849497,דרום
32.166392,34.849696,מרכז
32.169871,34.849349,מרכז
32.167522,34.80696,מערב
32.155124,34.846865,דרום
32.175336,34.850625,צפון
32.163951,34.842139,מרכז
32.175712,34.844053,צפון
32.17089,34.846727,צפון
32.16942,34.834049,מרכז
32.169868,34.8056,מערב
32.171509,34.847694,צפון
32.162984,34.834435,מרכז
32.166859,34.851318,מרכז
32.168376,34.852304,מזרח
32.170375,34.817902,צפון
32.159813,34.822039,הרצליה ב
32.189844,34.810724,מחוץ לתחום
32.166809,34.834522,מרכז
32.17086,34.842354,צפון
32.155569,34.845484,דרום
